"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"Hazelwood","KY","Louisville/Jefferson County","Jefferson","Louisville",3356,55600,-0.003584229390681,0.0109090909090909,-0.128526645768025,-0.00875791657381075,-0.0052413653908171,"2013-10","2013-Q4",65100,-0.145929339477727,"2012-08"
2015-02-28,"Madison - Eastend","MD","Baltimore","Baltimore City","Baltimore",3357,40900,0.0199501246882793,0.051413881748072,0.120547945205479,-0.0759256331760136,,"2009-11","2009-Q4",62300,-0.343499197431782,
2015-02-28,"Arlington Gardens","WI","Milwaukee","Milwaukee","Milwaukee",3358,80600,0.0037359900373599,-0.00493827160493827,-0.103448275862069,-0.0651795164484273,-0.0466056166582885,"2006-04","2006-Q2",143300,-0.437543614794138,"2000-01"
2015-02-28,"Kimberline","AL","Mobile","Mobile","Mobile",3359,109700,0,-0.000910746812386157,0.0339302544769086,-0.020064280944021,0.00554364912358873,"2008-07","2008-Q3",135400,-0.189807976366322,"2005-07"
2015-02-28,"Baxter","MI","Grand Rapids","Kent","Grand Rapids",3360,54500,0.00368324125230203,0.00925925925925926,-0.177978883861237,-0.0381492176547517,-0.0387313074250017,"2007-10","2007-Q4",90900,-0.4004400440044,"1999-06"
2015-02-28,"Donaldson Run","VA","Washington","Arlington","Arlington",3361,944400,0.0039332412033592,0.00414673046251994,0.0140663588532159,0.035981467591405,0.017152606009462,"2014-09","2014-Q3",945200,-0.000846381718154888,"2014-09"
2015-02-28,"Eastside","WA","Olympia","Thurston","Olympia",3362,202600,0.00645802285146547,0.0211693548387097,0.0657548658600736,-0.00448011791066016,0.017399466986898,"2006-06","2006-Q2",225900,-0.103142983621071,"2005-10"
2015-02-28,"Harrisburg","GA","Augusta","Richmond","Augusta",3363,39600,-0.0050251256281407,-0.0411622276029056,-0.188524590163934,-0.048593104495007,-0.0290913834210454,"2007-07","2007-Q3",59400,-0.333333333333333,
2015-02-28,"Three Chopt","VA","Richmond","Richmond City","Richmond",3364,279300,-0.00285612281328097,-0.0116772823779193,0.00830324909747292,0.0217594914642412,0.0185088285059032,"2014-06","2014-Q2",287300,-0.0278454577097111,"2014-04"
2015-02-28,"Sherman Village","WI","Madison","Dane","Madison",3365,137100,0.0223713646532438,0.0473644003055768,0.036281179138322,-0.00231785776010651,-0.0100684008207945,"2006-02","2006-Q1",157500,-0.12952380952381,"2003-10"
2015-02-28,"East Campus","NE","Lincoln","Lancaster","Lincoln",3366,117600,0.00684931506849315,0.0208333333333333,0.0518783542039356,0.0149319789453937,0.0140355221390329,"2015-02","2015-Q1",117600,0,"2015-02"
2015-02-28,"Whiteoak","NC","Charlotte","Mecklenburg","Charlotte",3367,310600,0.00355411954765751,0.00355411954765751,0.0166939443535188,0.0248694755168697,0.0196404884285095,"2008-01","2008-Q1",311600,-0.00320924261874198,"2007-12"
2015-02-28,"Vine City","GA","Atlanta","Fulton","Atlanta",3368,65800,-0.00754147812971342,-0.0366032210834553,-0.193627450980392,-0.0666553639415981,-0.0626774581295877,"2007-11","2007-Q4",143100,-0.540181691125087,
2015-02-28,"Church Hill","VA","Richmond","Richmond City","Richmond",3369,204000,-0.00244498777506112,-0.00390625,0.0350076103500761,0,0.0107019034568474,"2007-03","2007-Q1",229800,-0.112271540469974,"2005-09"
2015-02-28,"Cleveland Park","TN","Nashville","Davidson","Nashville",3370,115800,0.00959023539668701,0.031166518254675,-0.0244313395113732,0.0345769520905024,0.0441167716219875,"2014-03","2014-Q1",119500,-0.0309623430962343,"2013-11"
2015-02-28,"Gilcrease Hills","OK","Tulsa","Tulsa","Tulsa",3371,105700,-0.00937207122774133,-0.0212962962962963,-0.0293847566574839,-0.00300024160476875,0.00191210350701265,"2010-12","2010-Q4",115000,-0.0808695652173913,"2008-08"
2015-02-28,"Harrison West","OH","Columbus","Franklin","Columbus",3372,133600,-0.00890207715133531,0.00678221552373775,-0.166042446941323,-0.0329924291881557,-0.00316284001954503,"2009-10","2009-Q4",161700,-0.173778602350031,"2004-08"
2015-02-28,"Beauclerc","FL","Jacksonville","Duval","Jacksonville",3373,322800,-0.00676923076923077,-0.0158536585365854,0.0681667769688948,0.0103509987458639,-0.00316597508743832,"2006-07","2006-Q3",411900,-0.216314639475601,"2005-01"
2015-02-28,"Produce & Waterfront","CA","San Francisco","Alameda","Oakland",3374,495400,0.0101957585644372,0.00855048859934853,0.0164136233073451,0.100003163693022,0.00836594054696338,"2015-02","2015-Q1",495400,0,"2015-02"
2015-02-28,"South of Midtown","CA","San Jose","Santa Clara","Palo Alto",3375,2145300,0.02239908497355,0.0613991688106076,0.212307866184448,0.13457410049326,0.0757970858694541,"2015-02","2015-Q1",2145300,0,"2015-02"
2015-02-28,"Vasser Village (Lincoln Park)","OH","Columbus","Franklin","Columbus",3376,41400,0.0298507462686567,0.037593984962406,-0.168674698795181,-0.0596308150363873,-0.0430727172861919,"2007-08","2007-Q3",68700,-0.397379912663755,
2015-02-28,"Riviera Bay","FL","Tampa","Pinellas","Saint Petersburg",3377,210400,0.0100816130580893,0.0233463035019455,0.0626262626262626,0.0445496198625919,-0.00642126427858791,"2007-02","2007-Q1",264600,-0.204837490551776,"2004-12"
2015-02-28,"Lettered Streets","WA","Bellingham","Whatcom","Bellingham",3378,263600,-0.000379218809252939,0.00419047619047619,-0.00827689992475546,0.00665590422468409,0.0237264744480206,"2014-03","2014-Q1",266800,-0.0119940029985007,"2014-01"
2015-02-28,"Southwest","FL","Lakeland","Polk","Lakeland",3379,107600,0.00186219739292365,0.00466853408029879,0.0727816550348953,0.00130621830029543,-0.00567386475588305,"2006-12","2006-Q4",164800,-0.347087378640777,"2004-12"
2015-02-28,"El Pinal","CA","Stockton","San Joaquin","Stockton",3380,223800,0.00134228187919463,0.0017905102954342,0.130874178878221,0.063503285663147,-0.0331121363673271,"2006-04","2006-Q2",413200,-0.45837366892546,"2004-03"
2015-02-28,"Columbus","OK","Tulsa","Tulsa","Tulsa",3381,98700,0.0123076923076923,0.025987525987526,0.0433403805496829,0.0113165205206185,0.00815562134948911,"2015-02","2015-Q1",98700,0,"2015-02"
